date,Visits
01-07-2015,1195.856567
02-07-2015,1204.003638
03-07-2015,1133.675969
04-07-2015,1170.437324
05-07-2015,1217.7693
06-07-2015,1290.27319
07-07-2015,1239.136754
08-07-2015,1193.092122
09-07-2015,1197.991772
10-07-2015,1189.651197
11-07-2015,1166.807553
12-07-2015,1296.184431
13-07-2015,1300.250971
14-07-2015,1297.203918
15-07-2015,1216.332298
16-07-2015,1229.480756
17-07-2015,1211.808447
18-07-2015,1168.70482
19-07-2015,1221.031628
20-07-2015,1258.79142
21-07-2015,1197.782429
22-07-2015,1191.663854
23-07-2015,1148.396296
24-07-2015,1086.95642
25-07-2015,1067.564045
26-07-2015,1148.721873
27-07-2015,1184.4078
28-07-2015,1164.048076
29-07-2015,1285.768224
30-07-2015,1089.086897
31-07-2015,1050.592501
01-08-2015,1014.091156
02-08-2015,1111.009408
03-08-2015,1097.332205
04-08-2015,1207.094247
05-08-2015,1198.681705
06-08-2015,1207.119063
07-08-2015,1206.981742
08-08-2015,1157.05486
09-08-2015,1210.719961
10-08-2015,1193.675885
11-08-2015,1215.902799
12-08-2015,1226.191986
13-08-2015,1220.432348
14-08-2015,1194.429999
15-08-2015,1184.597226
16-08-2015,1257.643027
17-08-2015,1275.64089
18-08-2015,1255.120706
19-08-2015,1200.216551
20-08-2015,1163.387712
21-08-2015,1150.53111
22-08-2015,1143.951146
23-08-2015,1295.860352
24-08-2015,1302.571443
25-08-2015,1301.473191
26-08-2015,1227.897737
27-08-2015,1239.481715
28-08-2015,1186.292897
29-08-2015,1153.593109
30-08-2015,1251.327889
31-08-2015,1318.111758
01-09-2015,1242.868726
02-09-2015,1255.282429
03-09-2015,1244.527013
04-09-2015,1189.188281
05-09-2015,1193.936105
06-09-2015,1283.711461
07-09-2015,1333.767092
08-09-2015,1303.22455
09-09-2015,1283.277013
10-09-2015,1236.854329
11-09-2015,1236.445192
12-09-2015,1189.686175
13-09-2015,1333.570402
14-09-2015,1307.933347
15-09-2015,1254.303558
16-09-2015,1240.118642
17-09-2015,1286.503481
18-09-2015,1220.331163
19-09-2015,1183.781531
20-09-2015,1321.324184
21-09-2015,1392.861983
22-09-2015,1332.189247
23-09-2015,1385.315244
24-09-2015,1270.503
25-09-2015,1218.821548
26-09-2015,1185.720182
27-09-2015,1306.474186
28-09-2015,1372.171566
29-09-2015,1283.426254
30-09-2015,1299.424868
01-10-2015,1254.711957
02-10-2015,1223.189608
03-10-2015,1251.464599
04-10-2015,1353.269645
05-10-2015,1337.830806
06-10-2015,1286.216623
07-10-2015,1305.509042
08-10-2015,1302.848718
09-10-2015,1283.243896
10-10-2015,1279.951318
11-10-2015,1374.067954
12-10-2015,1418.033257
13-10-2015,1394.68055
14-10-2015,1418.998748
15-10-2015,1348.265813
16-10-2015,1219.557495
17-10-2015,1216.284753
18-10-2015,1331.093419
19-10-2015,1374.388995
20-10-2015,1377.660769
21-10-2015,1379.029559
22-10-2015,1339.518111
23-10-2015,1278.360183
24-10-2015,1242.426782
25-10-2015,1358.224268
26-10-2015,1387.87338
27-10-2015,1390.346115
28-10-2015,1357.307366
29-10-2015,1303.77892
30-10-2015,1255.615105
31-10-2015,1211.658832
01-11-2015,1291.498863
02-11-2015,1399.454186
03-11-2015,1342.333251
04-11-2015,1338.332751
05-11-2015,1338.913872
06-11-2015,1262.442193
07-11-2015,1240.942199
08-11-2015,1358.08106
09-11-2015,1387.701479
10-11-2015,1357.370683
11-11-2015,1349.724503
12-11-2015,1316.08211
13-11-2015,1251.826211
14-11-2015,1269.994719
15-11-2015,1397.877363
16-11-2015,1407.342542
17-11-2015,1415.558638
18-11-2015,1364.573669
19-11-2015,1331.071604
20-11-2015,1274.278177
21-11-2015,1318.937147
22-11-2015,1428.218133
23-11-2015,1440.964154
24-11-2015,1401.914653
25-11-2015,1370.900642
26-11-2015,1305.351573
27-11-2015,1272.831591
28-11-2015,1297.543315
29-11-2015,1387.685277
30-11-2015,1425.552044
01-12-2015,1339.717291
02-12-2015,1326.592844
03-12-2015,1315.87399
04-12-2015,1275.036104
05-12-2015,1247.58794
06-12-2015,1364.995753
07-12-2015,1441.04343
08-12-2015,1342.827273
09-12-2015,1308.018326
10-12-2015,1273.884798
11-12-2015,1251.245875
12-12-2015,1236.81657
13-12-2015,1360.868489
14-12-2015,1375.096723
15-12-2015,1291.202177
16-12-2015,1290.464647
17-12-2015,1275.154504
18-12-2015,1263.554878
19-12-2015,1244.051992
20-12-2015,1333.036082
21-12-2015,1337.844647
22-12-2015,1265.847806
23-12-2015,1270.845816
24-12-2015,1194.736898
