Date,Visits
01-07-2015,18
02-07-2015,11
03-07-2015,5
04-07-2015,13
05-07-2015,14
06-07-2015,9
07-07-2015,9
08-07-2015,22
09-07-2015,26
10-07-2015,24
11-07-2015,19
12-07-2015,10
13-07-2015,14
14-07-2015,15
15-07-2015,8
16-07-2015,16
17-07-2015,8
18-07-2015,8
19-07-2015,16
20-07-2015,7
21-07-2015,11
22-07-2015,10
23-07-2015,20
24-07-2015,18
25-07-2015,15
26-07-2015,14
27-07-2015,49
28-07-2015,10
29-07-2015,16
30-07-2015,18
31-07-2015,8
01-08-2015,5
02-08-2015,9
03-08-2015,7
04-08-2015,13
05-08-2015,9
06-08-2015,7
07-08-2015,4
08-08-2015,11
09-08-2015,10
10-08-2015,5
11-08-2015,9
12-08-2015,9
13-08-2015,9
14-08-2015,9
15-08-2015,13
16-08-2015,4
17-08-2015,15
18-08-2015,25
19-08-2015,9
20-08-2015,5
21-08-2015,6
22-08-2015,20
23-08-2015,3
24-08-2015,14
25-08-2015,46
26-08-2015,5
27-08-2015,5
28-08-2015,13
29-08-2015,4
30-08-2015,9
31-08-2015,10
01-09-2015,9
02-09-2015,11
03-09-2015,11
04-09-2015,11
05-09-2015,9
06-09-2015,15
07-09-2015,5
08-09-2015,10
09-09-2015,7
10-09-2015,4
11-09-2015,8
12-09-2015,9
13-09-2015,10
14-09-2015,6
15-09-2015,13
16-09-2015,16
17-09-2015,6
18-09-2015,24
19-09-2015,9
20-09-2015,11
21-09-2015,12
22-09-2015,8
23-09-2015,14
24-09-2015,6
25-09-2015,6
26-09-2015,11
27-09-2015,14
28-09-2015,6
29-09-2015,10
30-09-2015,20
01-10-2015,7
02-10-2015,15
03-10-2015,8
04-10-2015,15
05-10-2015,5
06-10-2015,8
07-10-2015,8
08-10-2015,5
09-10-2015,11
10-10-2015,165
11-10-2015,34
12-10-2015,6
13-10-2015,13
14-10-2015,8
15-10-2015,9
16-10-2015,11
17-10-2015,26
18-10-2015,18
19-10-2015,3
20-10-2015,5
21-10-2015,12
22-10-2015,6
23-10-2015,16
24-10-2015,19
25-10-2015,9
26-10-2015,10
27-10-2015,11
28-10-2015,11
29-10-2015,7
30-10-2015,9
31-10-2015,10
01-11-2015,24
02-11-2015,6
03-11-2015,6
04-11-2015,8
05-11-2015,16
06-11-2015,13
07-11-2015,10
08-11-2015,10
09-11-2015,6
10-11-2015,5
11-11-2015,20
12-11-2015,6
13-11-2015,47
14-11-2015,9
15-11-2015,9
16-11-2015,12
17-11-2015,11
18-11-2015,17
19-11-2015,15
20-11-2015,14
21-11-2015,11
22-11-2015,97
23-11-2015,11
24-11-2015,12
25-11-2015,11
26-11-2015,14
27-11-2015,15
28-11-2015,12
29-11-2015,104
30-11-2015,5
01-12-2015,22
02-12-2015,45
03-12-2015,75
04-12-2015,29
05-12-2015,34
06-12-2015,20
07-12-2015,12
08-12-2015,25
09-12-2015,9
10-12-2015,62
11-12-2015,20
12-12-2015,19
13-12-2015,8
14-12-2015,23
15-12-2015,13
16-12-2015,16
17-12-2015,34
18-12-2015,36
19-12-2015,11
20-12-2015,18
21-12-2015,12
22-12-2015,24
23-12-2015,30
24-12-2015,27
25-12-2015,44
26-12-2015,35
27-12-2015,53
28-12-2015,11
29-12-2015,26
30-12-2015,13
31-12-2015,18
01-01-2016,9
02-01-2016,16
